song,artist,release_year,composed,genre,appearances,also_performed_by,rating
"Symphony No. 41 in C Major, K. 551 - ""Jupiter""~4. Molto allegro",Berlin Philharmonic Orchestra / Karl Böhm,2018,Wolfgang Amadeus Mozart,None,1,7,None
Symphony No. 5,,2008,Ludwig van Beethoven,None,1,9,None
Symphony No. 5 - Adagietto,Gustav Mahler,2000,Uri Caine,None,1,0,4
Symphony No. 5~,Kirill Kondrashin / Gustav Mahler / Moscow Large Symphony Orchestra,2009,Gustav Mahler,None,1,0,None
"Symphony No. 7 ""The Song of the Night ""~",Kirill Kondrashin / Gustav Mahler / Moscow Large Symphony Orchestra,2009,Gustav Mahler,None,1,0,None
Symphony No. 9 in D Major : First Movement: Andante Comodo,,2021,Gustav Mahler,None,1,0,None
Big Rock Candy Mountain,Cisco Houston,2000,Woody Guthrie,Folk,1,0,2.5
Only This Moment,Röyksopp,2005,Svein Berge,Electronic,4,0,2.15
"Symphony No.46 (""To the Green Mountains""), Op. 347~River and Forest Music",Alan Hovhaness,1994,Alan Hovhaness,None,1,0,3
Symphony of Love,Ray Conniff,2012,Cole Porter,None,12,0,None
Synchro Feelings -- Ilkao,King Sunny Ade,2010,King Sunny Ade,None,1,0,3.5
Synchro Series: Synchro Feelings/Ilako Medley,King Sunny Ade,2003,None,None,1,0,4
Alvin For President,Alvin & the Chipmunks,1999,John Lennon,Children's,1,0,4
Synti (The Sin),Värttinä,2006,Traditional,None,1,0,4
Tabla Jugalbandi,Zakir Hussain,2004,None,None,4,0,None
Tabla Solo,Zakir Hussain,2004,None,None,4,0,None
April Fools Day Morn,Loudon Wainwright III,1983,Loudon Wainwright III,Pop/Rock,4,0,4
"Tabula rasa, concerto for 2 violins (or violin & viola), prepared piano & string orchestra",Arvo Pärt,1924,Arvo Pärt,Classical,1,0,3.7
"Tabula rasa, concerto for 2 violins (or violin & viola), prepared piano & string orchestra",Arvo Pärt,1924,Arvo Pärt,Classical,1,0,3.7
Tah-Boo,Ella Jenkins,1968,Ella Jenkins,None,3,0,4
Are You Alright?,Lucinda Williams,2007,Lucinda Williams,Country,6,0,3.8
Tainu Takda Rawan,Nusrat Fateh Ali Khan,2008,None,None,1,0,3.5
Boogie Chillen,John Lee Hooker,1968,Bernard Besman,Blues,66,0,3.285714286
Take a Giant Step,Taj Mahal,1969,Gerry Goffin,Blues,13,9,4.038461538
Take Good Care of Each Other,Fred Penner,1994,Fred Penner,None,3,0,4.5
Born With the Blues,Memphis Slim,1961,Peter Chatman,Blues,10,0,3.083333333
Take It There,Robert del Naja / Massive Attack / 3D / Tricky,2016,Robert del Naja,None,1,0,3
Take Me Back to Jamaica,The Jolly Boys,1990,The Jolly Boys,None,2,0,3
Our Text for Today,Richard Pryor,1975,Richard Pryor,Comedy/Spoken,2,0,2.4
Can't Even Get the Blues No More,Reba McEntire,1982,Rick Carnes,Country,9,0,3.371428571
Atlanta Blue,The Statler Brothers,1970,Don Reid,Country,7,0,3.585714286
Take My Breath Away,Royal Philharmonic Orchestra,1996,Giorgio Moroder,None,9,86,2
Take My Breath Away,Royal Philharmonic Orchestra,1996,Giorgio Moroder,None,9,86,2
Baby Step Back,Gordon Lightfoot,1982,Gordon Lightfoot,Pop/Rock,6,0,4
"Take the ""A"" Train",Doc Severinsen / Tonight Show Band,1987,Billy Strayhorn,None,1,637,2.5
Danny Boy,Conway Twitty,1959,Frederick Edward Weatherly,Country,56,0,2.65
Take This Hammer,Toumani Diabaté / Taj Mahal,1999,Taj Mahal,None,2,1,4
Can't Even Get the Blues No More,Reba McEntire,1982,Rick Carnes,Country,9,0,3.371428571
Besame Mucho,Xavier Cugat,1954,Sunny Skylar,Jazz,12,0,2.8625
Blues Run the Game,Bert Jansch,1975,Jackson C. Frank,Pop/Rock,4,19,4.7
Taki Rari,Yma Sumac,1999,Billy May,None,10,0,None
Taking My Baby Up Town,Heather Bishop,1987,Heather Bishop,None,1,0,5
San Antonio Rose,Bob Wills,1957,Bob Wills,Country,18,0,2.684615385
Roygbiv,Boards of Canada,2001,Marcus Eoin,Electronic,6,0,2.9
Talk To Me Of Mendocino,Kate & Anna McGarrigle,2006,Kate McGarrigle,None,1,0,None
"Talk With Tap, Pt. 2",Spinal Tap,1992,David St. Hubbins,None,1,0,2
Oxygene 10,Jean-Michel Jarre,1997,Jean-Michel Jarre,Electronic,5,0,2.066666667
Ruben,Elizabeth Cotten,1965,Elizabeth Cotten,Folk,2,0,2.75
La Cumparsita,Xavier Cugat,1955,Pascual Contursi,International,16,0,2.625
Oxygene 8,Jean-Michel Jarre,1997,Jean-Michel Jarre,Electronic,4,0,2.025
Talking Fisherman Blues,Ramblin' Jack Elliott,1968,Woody Guthrie,None,2,0,3.25
Talking Jewish,Jackie Mason / The Smothers Brothers,2022,Jackie Mason,None,1,0,None
Paradise Circus,Massive Attack,2010,Dan Brown,Electronic,10,0,2.4
Ca la Breaza (Dance from Breaza),Gheorghe Zamfir,1990,Gheorghe Zamfir,Easy,1,0,2
"Tang Poems, 4 songs for male chorus~Wild Grass",Chanticleer,1939,Chen Yi,Classical,2,0,3.35
Tango,Lucy Kaplansky / Patty Larkin,2010,Patty Larkin,None,1,1,4
Tango del Direttore,Nino Rota,1996,Nino Rota,None,2,0,None
Tango del Direttore,Nino Rota,1996,Nino Rota,None,2,0,None
Tango of the Drums,Les Baxter,1998,Les Baxter,None,2,0,3
Sabu,Oumou Sangaré,1990,None,Folk,2,0,2.75
Bango (To the Batmobile),Todd Terry,1990,Todd Terry,Pop/Rock,2,0,4
Taos to Tennessee,Tish Hinojosa,1992,Tish Hinojosa,None,3,0,3.833333333
Buena Vista,Robin & Linda Williams,2008,Robin & Linda Williams,Folk,1,0,2.5
Don't Cry No More,"Bobby ""Blue"" Bland",1961,Deadric Malone,Blues,13,19,4.555555556
Tarzan,Roy Ayers,2005,Roy Ayers,None,6,0,3
Tchaikovsky's Piano Concerto No. 1,Liberace,2006,Pyotr Il'yich Tchaikovsky,None,2,0,3.5
Te Quiero,Barney,2001,Lee Bernstein,None,5,0,None
Tea for Two,Dick Hyman,1971,Irving Caesar,None,2,490,4.5
Teach Your Baby How to Dance,Soupy Sales,Unknown,Robert Gordy,None,1,0,1.5
Teaching Peace,Red Grammer,1986,Red Grammer,None,1,0,5
Teagan's Lullaby,Fred Penner,1991,Fred Penner,None,1,0,None
Tear My Stillhouse Down,Gillian Welch,1996,Gillian Welch,None,1,0,4
Teardrop,Massive Attack,1998,Robert del Naja,None,65,17,None
Barney Theme Song (Yankee Doodle),Barney,2000,Traditional,Children's,1,0,4
Teen Taal,Zakir Hussain,2003,None,None,3,0,None
You Don't Know Me,Eddy Arnold,1960,Eddy Arnold,Country,12,0,2.85
Teentaal (Drut),Zakir Hussain,1986,None,None,2,0,None
(I Can't Believe) She Gives It All to Me,Conway Twitty,1977,Conway Twitty,Country,43,0,2.925
Telepathic Winter,The Chenille Sisters / Jere Stormer,2004,Cheryl Dawdy,None,1,0,None
9 to 5,Dolly Parton,1996,Dolly Parton,Country,99,0,2.8
Telephone Bill,"Johnny ""Guitar"" Watson",1980,"Johnny ""Guitar"" Watson",R&B,9,0,4.333333333
Bi Lambam,Toumani Diabaté / Ballaké Sissoko,1999,Toumani Diabaté,International,3,0,3.833333333
Tell It on the Mountain,The New Christy Minstrels,1963,Randy Sparks,None,3,0,3
Tell Mama,Arrow,1988,Alphonsus Cassell,None,2,0,2.75
Tell Me More and More,Heather Bishop,1987,John Lennon,None,2,0,5
Tell Me What Is True Love?,Bert Jansch,1971,Bert Jansch,Pop/Rock,6,3,4.2
Tell Me What It Is,Larry Heard,2003,Larry Heard,None,3,0,4
Tell Me What's He Got,Soupy Sales,Unknown,T. Baird,None,1,0,1.5
Tell My Sister,Kate & Anna McGarrigle,1975,Kate McGarrigle,Folk,2,2,3.25
Bills,Arrow,1992,Arrow,International,2,0,4
Temptation,Perry Como,1945,Nacio Herb Brown,None,50,125,3.018518519
Ten Green Bottles,Ella Jenkins,2014,Traditional,None,1,0,None
Ten Thousand Voices,Rhiannon Giddens,2019,Rhiannon Giddens,None,1,0,4
Ten Years Ago,Buddy Guy,1974,Buddy Guy,Blues,14,6,4.3125
Tendai Mwari,The Bhundu Boys,1989,None,None,1,0,3
Tenderly,Leontyne Price / George Shearing,1974,Walter Gross,None,2,502,3
"Satyagraha, opera~Kuru Field of Justice",Philip Glass / Douglas Perry,1927,Philip Glass,Classical,1,0,2.7
"Cloverfoot Reel for violin, cello & double bass",Yo-Yo Ma / Edgar Meyer / Mark O'Connor,2000,Edgar Meyer,Happy,1,0,2.5
Tennessee,Gillian Welch,2011,David Rawlings,None,1,0,5
Blue Texas Waltz,Billy Joe Shaver,1981,Billy Joe Shaver,Country,4,0,3.675
Sehnsud,Mouse on Mars,1996,Andi Toma,Electronic,2,0,2.9
Tennessee Stud,Doc Watson,1966,Jimmie Driftwood,Country,6,39,4.1
Blueberry Hill,Gene Autry,1992,Billy Hill,Country,24,0,3.55
Angels We Have Heard on High,Josh Groban / Brian McKnight,2007,Traditional,Holiday,2,0,3
Little Drummer Boy,Josh Groban,2007,Katherine K. Davis,Holiday,3,0,3
Terminator Lake,Oneohtrix Point Never,2009,Daniel Lopatin,None,2,0,4
Blueberry Hill,Gene Autry,1992,Billy Hill,Country,24,0,3.55
Texas Blues,Bill Morrissey,1984,Bill Morrissey,None,1,8,3.5
Texas Uphere Tennessee,Billy Joe Shaver,1976,Billy Joe Shaver,Country,4,0,4.05
Blueberry Hill,Gene Autry,1992,None,Country,24,0,3.55
Thais~Meditation,Royal Philharmonic Orchestra / Frank Shipway,2009,Jules Massenet,None,7,19,None
Thais~Meditation,Royal Philharmonic Orchestra / Frank Shipway,2009,Jules Massenet,None,7,19,None
Thank You & Goodnight,Jackie Mason,2014,Jackie Mason,None,1,0,None
Thank You Lord,Chris Tomlin,2020,Corey Crowder,None,21,1,None
Thanks For the Memory,Dick Hyman,1989,Ralph Rainger,None,2,108,4
Thanksgiving,George Winston,1982,George Winston,New,6,3,4.25
Thanksgiving,Loudon Wainwright III,1989,Loudon Wainwright III,None,2,1,4.25
Thanksgiving Theme,Vince Guaraldi Trio,1965,Vince Guaraldi,None,9,1,4
Born to Be Blue,The Judds,1990,Mack David,Country,5,0,3.55
That Glad Reunion Day,Joseph Spence,1998,Adger M. Pace,None,3,7,4
That Lonesome Song,Jamey Johnson,2008,Wayd Battle,None,1,0,4
That Lovin' You Feelin' Again,Emmylou Harris / Roy Orbison,1980,Roy Orbison,Country,4,3,4.175
Come on in My Kitchen,John Renbourn,1990,Robert Johnson,Blues,37,0,3.166666667
That Old Gang of Mine,Mitch Miller,1958,Mort Dixon,None,4,20,3.75
That One Show About Drugs and Stuff,David Cross,2010,Rodney Dangerfield,None,1,0,3.5
That Serpent,Heather Bishop,2009,Heather Bishop,None,1,0,None
Joy to the World,Royal Philharmonic Orchestra,1989,Lowell Mason,Holiday,4,0,3
Bulgar from Bucharest,Klezmer Conservatory Band,2000,Traditional,International,1,0,4
Bulgar from Bucharest,Klezmer Conservatory Band,2000,Traditional,International,1,0,4
That Summer,Garth Brooks,1992,Pat Alger,Country,3,2,4.3
That Was Yesterday,Marlo Thomas,2017,Stephen Lawrence,None,1,0,None
That's All,Teddy Edwards / Houston Person,1994,Alan Brandt,None,4,271,3.333333333
For Lovin' Me,"Peter, Paul and Mary",1965,Gordon Lightfoot,Pop/Rock,5,19,4.75
Car Wheels on a Gravel Road,Lucinda Williams,1998,Lucinda Williams,Pop/Rock,12,0,4
That's How I Don't Love You,Jamey Johnson,2009,Jamey Johnson,None,1,0,5
D.J. Play My Blues,Buddy Guy,1982,Buddy Guy,Blues,9,0,3.416666667
That's My Weakness Now,"Cliff ""Ukelele Ike"" Edwards",1996,Bud Green,Jazz,9,35,4.425
That's Show Biz,Rodney Dangerfield,1990,Rodney Dangerfield,None,6,0,2.833333333
That's the Way It's Gonna Be,The Chad Mitchell Trio,1965,Bob Gibson,None,3,11,3.166666667
"The Gang That Sang ""Heart of My Heart""",Mitch Miller,1996,Ben Ryan,Vocal,3,19,4.5
That's What I Want for Christmas,Shirley Temple,2000,Irving Caesar,None,6,3,3
That's What Love Is For,Amy Grant,2007,Amy Grant,None,17,2,3.5
That's What Love Will Make You Do,Little Milton,1970,Milton Campbell,None,17,15,4.041666667
That's What Our Life Is,Jonathan Edwards,1972,Jonathan Edwards,None,1,0,4
That's What She Said Last Night,Billy Joe Shaver,2002,Billy Joe Shaver,None,4,0,3.5
Joy to the World,Royal Philharmonic Orchestra,1989,Lowell Mason,Holiday,4,0,3
The  Ballad of Davy Crew-Cut,Homer & Jethro,1989,Merle Travis,None,2,0,4.5
The  Beautiful Garden,The Jolly Boys,1978,None,None,1,0,None
The  Beloved,Zakir Hussain / Shankar Mahadevan / John McLaughlin,2019,Shankar Mahadevan,None,1,0,3.5
The  Flood Waters Were Upon the World,Clint Mansell,2014,Clint Mansell,None,1,1,4
The  Hill Country Theme,Boston Pops Orchestra / Arthur Fiedler,2013,Glenn Paxton,None,1,0,4
The  Hill Country Theme,Boston Pops Orchestra / Arthur Fiedler,2013,Glenn Paxton,None,1,0,4
The  Hill Country Theme,Boston Pops Orchestra / Arthur Fiedler,2013,Glenn Paxton,None,1,0,4
The  Hill Country Theme,Boston Pops Orchestra / Arthur Fiedler,2013,Glenn Paxton,None,1,0,4
The  Hill Country Theme,Boston Pops Orchestra / Arthur Fiedler,2013,Glenn Paxton,None,1,0,4
The  Hill Country Theme,Boston Pops Orchestra / Arthur Fiedler,2013,Glenn Paxton,None,1,0,4
The  Hill Country Theme,Boston Pops Orchestra / Arthur Fiedler,2013,Glenn Paxton,None,1,0,4
The  Love We Almost Had,Rhiannon Giddens,2017,Bhi Bhiman,None,1,0,5
The  River Has Come Down,The Jolly Boys,1978,None,None,1,0,None
The  Riviera,Sandy Duncan / Ensemble / Harvey Evans,1970,Sandy Wilson,None,1,0,3.5
The  Search,Zakir Hussain / Shankar Mahadevan / John McLaughlin,2019,Shankar Mahadevan,None,1,0,3.5
The  West Virginny Hills,Homer & Jethro,1989,Merle Travis,None,2,0,4.5
Anticipation Blues,Tennessee Ernie Ford,1994,Ken Darby,Country,17,0,2.8
The 11:69 Express,Dr. Demento,2020,Benny Bell,None,1,0,None
The 3rd Man Theme,Esquivel,1997,Anton Karas,None,1,4,4
Cheikhna Demba,Toumani Diabaté / Ballaké Sissoko,1999,Toumani Diabaté,International,3,0,3.833333333
Children and All That Jazz,Joan Baez,1970,Joan Baez,Pop/Rock,9,0,4
The Abraham Lincoln Brigade,John McCutcheon,2003,John McCutcheon,None,1,0,2
The Abraham Lincoln Brigade,John McCutcheon,2003,John McCutcheon,None,1,0,2
The Accordian Man Waltz,Frankie Yankovic,1994,John Pecon,None,6,0,2.75
The Acid Hits,Oneohtrix Point Never,2017,Ronald Bronstein,None,1,0,4
The Alvin Twist,The Chipmunks,1962,Ross Bagdasarian,Quirky,3,2,3.833333333
There You Go,Johnny Cash,1958,Johnny Cash,Pop/Rock,100,19,4.75
The Angels Rejoiced Last Night,Emmylou Harris / Gram Parsons,1996,Charlie Louvin,None,2,9,4.5
The Approaching of the Disco Void,John Fahey,1981,John Fahey,Folk,2,0,3.25
The Arkansas Traveler,Riders in the Sky,2006,Ranger Doug Green,None,1,0,3.5
The Arrival,Michael Nyman,1997,Michael Nyman,None,1,1,2
The Art of Fugue,,2000,Johann Sebastian Bach,None,1,0,3
"The Art of the Fugue, BWV 1080: Contrapunctus I/Contrapunctus II/Contrapunctus III",Glenn Gould,2012,Johann Sebastian Bach,None,1,0,None
The Artist in America,Ornette Coleman / London Symphony Orchestra,1999,Ornette Coleman,Jazz,2,0,4.3
Poor Leno,Röyksopp,2001,Erlend Øye,Electronic,16,0,2.288888889
The Baby Bop Hop,Barney,1997,Stephen Bates Baltes,None,2,0,2.5
Cloudburst,George Winston,1999,George Winston,New,3,0,4
The Ballad of Davy Crockett,Riders in the Sky,2004,Tom Blackburn,None,1,31,3.5
The Ballad of Gary Hart,Tom Paxton,1988,Tom Paxton,None,2,0,3.5
The Ballad of Gary Hart,Tom Paxton,1988,Tom Paxton,None,2,0,3.5
Clouds Up,Air,2000,Jean-Benoît Dunckel,Pop/Rock,3,0,4
"The Bartered Bride, JB 1, 100~Act 1. Overture",Karl Böhm,2017,Bedřich Smetana,None,1,0,None
Shoot That Buffalo,Elizabeth Cotten,1965,Traditional,Folk,2,0,2.75
Dimples,John Lee Hooker,1984,John Lee Hooker,Blues,92,0,3.1
Caldonia,Pinetop Perkins,1993,Fleecie Moore,Blues,1,20,4.5
Coffin for Head of State,Fela Kuti,2000,None,International,4,0,3.666666667
Come Back Liza,Harry Belafonte,1990,None,International,22,0,4
The Big Rock Candy Mountain,Pete Seeger,1957,None,None,12,0,3.25
The Bird on My Head,David Seville,1958,Ross Bagdasarian,None,2,0,None
Casey Jones,The New Christy Minstrels,1964,Randy Sparks,Folk,3,0,2
Count on Me,The Statler Brothers,1986,Don Reid,Country,6,0,3.55
The Blizzard,Judy Collins,1990,Judy Collins,None,9,1,3.5
The Blizzard,Judy Collins,1990,Judy Collins,None,9,1,3.5
The Blue Hour,Sasha & John Digweed,2000,None,None,1,0,3
Do You Want Fries with That,Tim McGraw,2004,Casey Beathard,Country,7,0,3.466666667
The Boss,Diana Ross,1979,Nickolas Ashford,R&B,71,4,4.111111111
Does My Ring Hurt Your Finger,Charley Pride,1967,Doris Clement,Country,18,0,3.270588235
Don't Fence Me In,Roy Rogers,2001,Dennis Linde,Country,19,0,3.3
"The Boy Friend, musical~Safety in Numbers",Sandy Duncan / Original Broadway Cast,1970,Sandy Wilson,None,1,0,3.5
"The Boy Friend, musical~Sur La Plage (On the Beach)",Sandy Duncan / Harvey Evans / Original Broadway Cast,1970,Sandy Wilson,None,1,0,3.5
"The Boy Friend, musical~The Riviera",Sandy Duncan / Harvey Evans / Original Broadway Cast,1970,Sandy Wilson,None,1,1,3.5
"The Boy Friend, musical~Won't You Charleston with Me?",Sandy Duncan / Harvey Evans / Original Broadway Cast,1970,Sandy Wilson,None,1,1,3.5
"The Boy Friend, musical~Won't You Charleston With Me?",Sandy Duncan / Harvey Evans,2005,Sandy Wilson,None,1,0,3.5
The Boy's Doin' It,Hugh Masekela,1975,Orlando Julius Ekemode,None,5,0,3.375
Shopping Cart Love: The Play,Christine Lavin,1990,Christine Lavin,Humorous,1,0,3
The Cannonball,The Carter Family,1995,A.P. Carter,Country,12,3,4.022222222
The Cat and the Fiddle,Jerome Kern,1989,Davis Gaines,None,1,0,3
Rumpelstiltskin,Richard Pryor,1968,Richard Pryor,Comedy/Spoken,2,0,1.15
"Lover, Come Back to Me",Ella Fitzgerald,1953,Oscar Hammerstein II,Jazz,45,0,3
"The Cave, multimedia theater work for piano, sampling keyboards & voice of Neville Chamberlain~Act 1. West Jersalem/Hebron (May - June 1989). Typing Music (Genesis XVI)",Steve Reich,1995,Steve Reich,None,1,0,4.5
Cowboy Night Herd Song,Roy Rogers,2001,Dale Evans,Country,9,0,3.8
The Children's Marching Song (Nick Nack Paddy Whack),Mitch Miller,1961,Felix Bernard,None,3,0,3.5
The Chipmunk Song,The Chipmunks,1981,Ross Bagdasarian,None,14,38,3.055555556
The Chipmunk Song (Christmas Don't Be Late),The Chipmunks / David Seville,1962,Ross Bagdasarian,None,59,38,4
The Chipmunk Song (Christmas Don't Be Late),The Chipmunks / David Seville,1962,Ross Bagdasarian,None,59,38,4
The Christmas Song (Chestnuts Roasting On an Open Fire),Ferrante & Teicher,1966,Mel Tormé,None,2,211,3
The Church's One Foundation,Leontyne Price / St. Thomas Choir of Men and Boys,2005,Felix Mendelssohn,None,2,0,None
The Circle Game,Buffy Sainte-Marie,1967,Joni Mitchell,None,5,33,4
Silly Ol' Summertime,The New Christy Minstrels,1964,Randy Sparks,Folk,4,0,2.875
Dance Dis Dance,Arrow,1993,Arrow,Romantic,2,0,4
Chilling of the Evening,Arlo Guthrie,1967,Arlo Guthrie,Folk,2,0,2
The Clapping Song,Barney / Julie Johnson / Dean Wendt,2003,Traditional,None,1,0,2.5
Bridge Over Troubled Water,Richard Clayderman,1984,Paul Simon,New,18,0,3
The Classroom Song,Barney,1999,Traditional,None,1,0,3
"Dance, Dance, Dance",Frankie Yankovic,1994,Joe Trollie,Easy,6,0,3.75
Baby's Gone,Conway Twitty,1973,Bill Parks,Country,39,0,2.775
The Comeback,Memphis Slim,1971,Peter Chatman,None,14,0,2.75
The Compliments,The Lonely Island,2013,Kenji Kawai,None,1,1,3.5
The Connection,Emmylou Harris,2005,Jack Routh,None,2,0,3.5
The Continental,Ray Conniff,1962,Con Conrad,None,11,140,3.3
Everywhere,Tim McGraw,1997,Mike Reid,Country,9,0,3.371428571
Devana,Johnny Clegg,2006,Johnny Clegg,International,1,0,4
The Cranes,Patty Larkin / David Wilcox,2010,Patty Larkin,None,1,2,4
The Creep,The Lonely Island,2011,Andy Samberg,None,1,0,3.5
The Cuckoo,Ella Jenkins,2011,Ella Jenkins,None,1,0,3
Prison,Richard Pryor,1982,Richard Pryor,Comedy/Spoken,2,0,2.4
Gatemouth Boogie,"Clarence ""Gatemouth"" Brown",1995,"Clarence ""Gatemouth"" Brown",Blues,8,0,3.125
The Dead Walk,John Carpenter,2021,Cody Carpenter,None,1,0,4
"Raspberries, Strawberries",The Kingston Trio,1960,Will Holt,Folk,16,0,2.166666667
Eyes of Amber,Buffy Sainte-Marie,1964,Buffy Sainte-Marie,Folk,2,0,2.5
The Deer's Cry,Aquarius / Arvo Pärt,2016,Arvo Pärt,None,1,2,None
The Deer's Cry,Aquarius / Arvo Pärt,2016,Arvo Pärt,None,1,2,None
Money for Nothing/Beverly Hillbillies,Weird Al Yankovic,1989,Paul Henning,Comedy/Spoken,5,0,1.9
The Devil Ain't Lazy,Bob Wills,1993,Fred Rose,None,3,4,3
The Dive/Don't Come Back/Slow Walk/The Horse,Marvin Hamlisch,2006,Marvin Hamlisch,None,1,0,5
The Dollar,Jamey Johnson,2006,Jamey Johnson,None,1,1,4
Girl From Ipanema,Arthur Fiedler / Stan Getz,1966,Vinícius de Moraes,International,1,0,3
The Dream Tree,Buffy Sainte-Marie,1970,Buffy Sainte-Marie,None,2,0,4.5
"The Dreamer That Remains - A Study in Loving, film score for voices, chorus & 15 Partch instruments",Harry Partch,1997,Harry Partch,None,1,1,4.5
"The Dreamer That Remains - A Study in Loving, film score for voices, chorus & 15 Partch instruments",Harry Partch,1997,Harry Partch,None,1,1,4.5
The Dreydl Song,Klezmer Conservatory Band,1987,Al Sack,None,2,0,4
The Dreydl Song,Klezmer Conservatory Band,1987,Al Sack,None,2,0,4
"The Dreydls That Wouldn't Stop/Drey Zich, Dreydele",Rachel Buchman,2000,Rachel Buchman,None,1,0,3
The Driving of the Year Nail,Leo Kottke,1971,Leo Kottke,Country,2,0,4.3
The Driving of the Year Nail,Leo Kottke,1971,Leo Kottke,Country,2,0,4.3
The Drummer and the Cook,Harry Belafonte,1955,None,None,21,0,3.333333333
"Snot, The Original Rubber Cement",George Carlin,1974,George Carlin,Comedy/Spoken,2,0,2.65
The Dutchman,Steve Goodman,1973,Michael Peter Smith,None,5,25,3.6
